Ion = Chlorine    , Mass = 34.969
Tgt =  H (Solid), Density = .07 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
2.565E+04   1.723E+02  3.129E-01 
2.565E+04   1.723E+02  3.129E-01 
2.565E+04   1.723E+02  3.129E-01 
2.565E+04   1.723E+02  3.129E-01 
2.566E+04   1.723E+02  3.129E-01 
2.566E+04   1.723E+02  3.128E-01 
2.566E+04   1.723E+02  3.128E-01 
2.566E+04   1.723E+02  3.128E-01 
2.566E+04   1.723E+02  3.128E-01 
2.566E+04   1.723E+02  3.128E-01 
2.566E+04   1.723E+02  3.128E-01 
2.567E+04   1.723E+02  3.128E-01 
2.567E+04   1.723E+02  3.128E-01 
2.567E+04   1.723E+02  3.127E-01 
2.567E+04   1.723E+02  3.127E-01 
2.567E+04   1.723E+02  3.127E-01 
2.567E+04   1.723E+02  3.127E-01 
2.567E+04   1.723E+02  3.127E-01 
2.567E+04   1.723E+02  3.127E-01 
2.568E+04   1.723E+02  3.127E-01 
2.568E+04   1.723E+02  3.126E-01 
2.568E+04   1.723E+02  3.126E-01 
2.568E+04   1.723E+02  3.126E-01 
2.568E+04   1.723E+02  3.126E-01 
2.568E+04   1.723E+02  3.126E-01 
2.568E+04   1.723E+02  3.126E-01 
2.568E+04   1.723E+02  3.126E-01 
2.569E+04   1.723E+02  3.126E-01 
2.569E+04   1.723E+02  3.125E-01 
2.569E+04   1.723E+02  3.125E-01 
2.569E+04   1.723E+02  3.125E-01 
2.569E+04   1.723E+02  3.125E-01 
2.569E+04   1.723E+02  3.125E-01 
2.569E+04   1.723E+02  3.125E-01 
2.570E+04   1.723E+02  3.125E-01 
2.570E+04   1.723E+02  3.124E-01 
2.570E+04   1.723E+02  3.124E-01 
2.570E+04   1.723E+02  3.124E-01 
2.570E+04   1.723E+02  3.124E-01 
2.570E+04   1.723E+02  3.124E-01 
2.570E+04   1.723E+02  3.124E-01 
2.570E+04   1.723E+02  3.124E-01 
