NDF v10.0b 16Jan21 rev 16Jan21 run 08/08/2023 15:04:49 Filename: idff0102.datbatch idf_example3.spc
str idf_example3.str
file idf_example32.dat
geo idf_example32.geo
 channel data fit
  689  0.47207E+02  0.17723E+02
  690  0.49446E+02  0.18598E+02
  691  0.51754E+02  0.19533E+02
  692  0.53982E+02  0.20531E+02
  693  0.55991E+02  0.21596E+02
  694  0.57674E+02  0.22738E+02
  695  0.58985E+02  0.23969E+02
  696  0.59946E+02  0.25311E+02
  697  0.60655E+02  0.26801E+02
  698  0.61266E+02  0.28500E+02
  699  0.61957E+02  0.30496E+02
  700  0.62893E+02  0.32919E+02
  701  0.64202E+02  0.35945E+02
  702  0.65963E+02  0.39796E+02
  703  0.68211E+02  0.44733E+02
  704  0.70959E+02  0.51036E+02
